Player,EVENTS PLAYED,PGA TOUR WINS,INTERNATIONAL WINS,CUTS MADE,RUNNER UP,THIRD PLACE FINISHES,TOP 5 FINISHES,TOP 10 FINISHES,YEAR JOINED TOUR,OFFICIAL MONEY,ALL WINS,FEDEXCUP CHAMPION,Win %,Cuts Made %,Top 5 %,Top 10 %
Bob Ackerman,26.0,0.0,0.0,3,0.0,0.0,0.0,0.0,,"$2,590",,,0.0,11.54,0.0,0.0
"Joe Acosta, Jr.",64.0,0.0,0.0,24,0.0,1.0,2.0,2.0,,"$216,258",,,0.0,37.5,3.12,3.12
Jerry Abbott,92.0,0.0,0.0,66,0.0,0.0,1.0,6.0,,"$48,708",,,0.0,71.74,1.09,6.52
Tommy Aaron,625.0,2.0,0.0,480,13.0,15.0,56.0,106.0,1961.0,"$925,061",,,0.32,76.8,8.96,16.96
Pat Abbott,31.0,1.0,0.0,20,0.0,0.0,1.0,1.0,,"$1,045",,,3.23,64.52,3.23,3.23
Rick Acton,44.0,0.0,0.0,13,0.0,0.0,0.0,1.0,,"$11,110",,,0.0,29.55,0.0,2.27
Brad Adamonis,74.0,0.0,0.0,28,1.0,0.0,1.0,4.0,2002.0,"$1,229,496",,,0.0,37.84,1.35,5.41
Blake Adams,119.0,0.0,0.0,68,1.0,1.0,2.0,9.0,2010.0,"$3,567,637",,,0.0,57.14,1.68,7.56
Adam Adams,29.0,0.0,0.0,2,0.0,0.0,0.0,0.0,,"$4,304",,,0.0,6.9,0.0,0.0
John Adams,566.0,0.0,0.0,280,2.0,3.0,12.0,29.0,,"$2,019,582",,,0.0,49.47,2.12,5.12
Mitch Adcock,69.0,0.0,0.0,28,0.0,0.0,0.0,0.0,,"$110,313",,,0.0,40.58,0.0,0.0
Joe Affrunti,25.0,0.0,0.0,8,0.0,0.0,0.0,0.0,2011.0,"$164,841",,,0.0,32.0,0.0,0.0
Sam Adams,163.0,1.0,0.0,55,1.0,0.0,4.0,6.0,,"$82,787",,,0.61,33.74,2.45,3.68
Jim Ahern,41.0,0.0,0.0,19,0.0,0.0,0.0,1.0,,"$13,412",,,0.0,46.34,0.0,2.44
Thomas Aiken,51.0,0.0,10.0,27,0.0,0.0,0.0,3.0,2016.0,"$1,007,389",,,0.0,52.94,0.0,5.88
Anders Albertson,47.0,0.0,0.0,16,0.0,0.0,1.0,1.0,2019.0,"$556,905",,,0.0,34.04,2.13,2.13
Rafael Alarcon,64.0,0.0,0.0,22,0.0,0.0,0.0,0.0,,"$91,859",,,0.0,34.38,0.0,0.0
Jim Albus,31.0,0.0,0.0,13,0.0,0.0,0.0,0.0,,"$16,279",,,0.0,41.94,0.0,0.0
Skip Alexander,150.0,3.0,0.0,144,7.0,4.0,22.0,46.0,,"$52,609",,,2.0,96.0,14.67,30.67
Tyler Aldridge,59.0,0.0,0.0,22,0.0,0.0,0.0,0.0,2009.0,"$609,829",,,0.0,37.29,0.0,0.0
Tyson Alexander,67.0,0.0,0.0,26,1.0,0.0,1.0,2.0,2023.0,"$1,865,805",,,0.0,38.81,1.49,2.99
Steven Alker,87.0,0.0,4.0,38,0.0,0.0,0.0,0.0,2003.0,"$841,849",,,0.0,43.68,0.0,0.0
Steve Allan,214.0,0.0,2.0,100,2.0,1.0,5.0,9.0,2001.0,"$3,619,335",,,0.0,46.73,2.34,4.21
Bob Allard,40.0,0.0,0.0,19,0.0,0.0,1.0,2.0,,"$10,764",,,0.0,47.5,2.5,5.0
Fulton Allem,406.0,3.0,0.0,194,1.0,1.0,13.0,20.0,,"$3,155,787",,,0.74,47.78,3.2,4.93
Michael Allen,369.0,0.0,1.0,194,3.0,3.0,9.0,17.0,,"$6,316,156",,,0.0,52.57,2.44,4.61
Ras Allen,58.0,0.0,0.0,23,0.0,0.0,0.0,1.0,,"$10,790",,,0.0,39.66,0.0,1.72
Jason Allred,70.0,0.0,0.0,24,0.0,1.0,1.0,2.0,2005.0,"$1,012,334",,,0.0,34.29,1.43,2.86
Robert Allenby,525.0,4.0,18.0,327,9.0,6.0,35.0,70.0,1999.0,"$27,492,076",,,0.76,62.29,6.67,13.33
Bud Allin,263.0,5.0,0.0,170,2.0,2.0,15.0,35.0,,"$563,288",,,1.9,64.64,5.7,13.31
Stanton Altgelt,90.0,0.0,0.0,53,0.0,1.0,1.0,2.0,,"$44,343",,,0.0,58.89,1.11,2.22
Stephen Ames,394.0,4.0,3.0,254,1.0,5.0,23.0,58.0,1998.0,"$19,718,160",,,1.02,64.47,5.84,14.72
Byeong Hun An,213.0,0.0,4.0,150,5.0,4.0,15.0,28.0,2017.0,"$20,263,917",,,0.0,70.42,7.04,13.15
Abraham Ancer,147.0,1.0,2.0,105,4.0,0.0,15.0,25.0,,"$15,253,879",,,0.68,71.43,10.2,17.01
Brad Anderson,32.0,0.0,0.0,15,0.0,0.0,2.0,2.0,,"$8,660",,,0.0,46.88,6.25,6.25
Andy Anderson,25.0,0.0,0.0,19,0.0,0.0,0.0,1.0,,"$1,060",,,0.0,76.0,0.0,4.0
Jeremy Anderson,31.0,0.0,0.0,8,0.0,0.0,0.0,0.0,,"$99,464",,,0.0,25.81,0.0,0.0
Chris Anderson,57.0,0.0,0.0,25,0.0,0.0,1.0,2.0,,"$612,375",,,0.0,43.86,1.75,3.51
JC Anderson,73.0,0.0,0.0,23,0.0,0.0,0.0,2.0,,"$167,536",,,0.0,31.51,0.0,2.74
Jerry Anderson,66.0,0.0,0.0,18,0.0,0.0,0.0,0.0,,"$58,670",,,0.0,27.27,0.0,0.0
Mark Anderson,103.0,0.0,0.0,46,0.0,0.0,0.0,3.0,2012.0,"$1,543,937",,,0.0,44.66,0.0,2.91
Billy Andrade,634.0,4.0,0.0,372,8.0,5.0,30.0,56.0,1988.0,"$12,494,805",,,0.63,58.68,4.73,8.83
Dale Andreason,46.0,0.0,0.0,39,0.0,0.0,0.0,2.0,,"$2,991",,,0.0,84.78,0.0,4.35
Isao Aoki,154.0,1.0,7.0,117,3.0,5.0,13.0,18.0,1981.0,"$960,571",,,0.65,75.97,8.44,11.69
Kiradech Aphibarnrat,106.0,0.0,6.0,59,0.0,2.0,6.0,9.0,2018.0,"$4,011,324",,,0.0,55.66,5.66,8.49
Stuart Appleby,551.0,9.0,3.0,371,13.0,3.0,33.0,69.0,1996.0,"$29,828,521",,,1.63,67.33,5.99,12.52
Alex Aragon,52.0,0.0,0.0,10,0.0,0.0,0.0,0.0,2006.0,"$132,515",,,0.0,19.23,0.0,0.0
Kikuo Arai,50.0,0.0,0.0,20,1.0,0.0,1.0,2.0,,"$84,432",,,0.0,40.0,2.0,4.0
George Archer,674.0,13.0,0.0,530,15.0,15.0,66.0,111.0,,"$1,881,859",,,1.93,78.64,9.79,16.47
Ryan Armour,269.0,1.0,0.0,135,1.0,0.0,6.0,15.0,2007.0,"$8,051,238",,,0.37,50.19,2.23,5.58
Ray Arinno,25.0,0.0,0.0,10,0.0,0.0,0.0,1.0,,"$8,851",,,0.0,40.0,0.0,4.0
Tommy Armour,194.0,25.0,0.0,186,19.0,11.0,82.0,113.0,,"$20,088",,,12.89,95.88,42.27,58.25
