Player,EVENTS PLAYED,PGA TOUR WINS,INTERNATIONAL WINS,CUTS MADE,RUNNER UP,THIRD PLACE FINISHES,TOP 5 FINISHES,TOP 10 FINISHES,YEAR JOINED TOUR,OFFICIAL MONEY,ALL WINS,FEDEXCUP CHAMPION
Bob Ackerman,26,0,0,3/26,0,0,0,0,-,"$2,590",,
"Joe Acosta, Jr.",64,0,0,24/64,0,1,2,2,-,"$216,258",,
Jerry Abbott,92,0,0,66/92,0,0,1,6,-,"$48,708",,
Tommy Aaron,625,2,0,480/625,13,15,56,106,1961,"$925,061",,
Pat Abbott,31,1,0,20/31,0,0,1,1,-,"$1,045",,
Rick Acton,44,0,0,13/44,0,0,0,1,-,"$11,110",,
Brad Adamonis,74,0,0,28/74,1,0,1,4,2002,"$1,229,496",,
Blake Adams,119,0,0,68/119,1,1,2,9,2010,"$3,567,637",,
Adam Adams,29,0,0,2/29,0,0,0,0,-,"$4,304",,
John Adams,566,0,0,280/566,2,3,12,29,-,"$2,019,582",,
Mitch Adcock,69,0,0,28/69,0,0,0,0,-,"$110,313",,
Joe Affrunti,25,0,0,8/25,0,0,0,0,2011,"$164,841",,
Sam Adams,163,1,0,55/163,1,0,4,6,-,"$82,787",,
Jim Ahern,41,0,0,19/41,0,0,0,1,-,"$13,412",,
Thomas Aiken,51,0,10,27/51,0,0,0,3,2016,"$1,007,389",,
Anders Albertson,47,0,0,16/47,0,0,1,1,2019,"$556,905",,
Rafael Alarcon,64,0,0,22/64,0,0,0,0,-,"$91,859",,
Jim Albus,31,0,0,13/31,0,0,0,0,-,"$16,279",,
Skip Alexander,150,3,0,144/150,7,4,22,46,-,"$52,609",,
Tyler Aldridge,59,0,0,22/59,0,0,0,0,2009,"$609,829",,
Tyson Alexander,67,0,0,26/67,1,0,1,2,2023,"$1,865,805",,
Steven Alker,87,0,4,38/87,0,0,0,0,2003,"$841,849",,
Steve Allan,214,0,2,100/214,2,1,5,9,2001,"$3,619,335",,
Bob Allard,40,0,0,19/40,0,0,1,2,-,"$10,764",,
Fulton Allem,406,3,0,194/406,1,1,13,20,-,"$3,155,787",,
Michael Allen,369,0,1,194/369,3,3,9,17,-,"$6,316,156",,
Ras Allen,58,0,0,23/58,0,0,0,1,-,"$10,790",,
Jason Allred,70,0,0,24/70,0,1,1,2,2005,"$1,012,334",,
Robert Allenby,525,4,18,327/525,9,6,35,70,1999,"$27,492,076",,
Bud Allin,263,5,0,170/263,2,2,15,35,-,"$563,288",,
Stanton Altgelt,90,0,0,53/90,0,1,1,2,-,"$44,343",,
Stephen Ames,394,4,3,254/394,1,5,23,58,1998,"$19,718,160",,
Byeong Hun An,213,0,4,150/213,5,4,15,28,2017,"$20,263,917",,
Mason Andersen,12,0,0,5/12,0,0,0,0,2025,"$91,849",,
Abraham Ancer,147,1,2,105/147,4,0,15,25,-,"$15,253,879",,
Brad Anderson,32,0,0,15/32,0,0,2,2,-,"$8,660",,
Andy Anderson,25,0,0,19/25,0,0,0,1,-,"$1,060",,
Jeremy Anderson,31,0,0,8/31,0,0,0,0,-,"$99,464",,
Chris Anderson,57,0,0,25/57,0,0,1,2,-,"$612,375",,
JC Anderson,73,0,0,23/73,0,0,0,2,-,"$167,536",,
Jerry Anderson,66,0,0,18/66,0,0,0,0,-,"$58,670",,
Mark Anderson,103,0,0,46/103,0,0,0,3,2012,"$1,543,937",,
Willie Anderson,7,6,0,7/7,1,1,7,7,-,$0,,
Billy Andrade,634,4,0,372/634,8,5,30,56,1988,"$12,494,805",,
Dale Andreason,46,0,0,39/46,0,0,0,2,-,"$2,991",,
Isao Aoki,154,1,7,117/154,3,5,13,18,1981,"$960,571",,
Kiradech Aphibarnrat,106,0,6,59/106,0,2,6,9,2018,"$4,011,324",,
Stuart Appleby,551,9,3,371/551,13,3,33,69,1996,"$29,828,521",,
Alex Aragon,52,0,0,10/52,0,0,0,0,2006,"$132,515",,
Kikuo Arai,50,0,0,20/50,1,0,1,2,-,"$84,432",,
George Archer,674,13,0,530/674,15,15,66,111,-,"$1,881,859",,
Ryan Armour,269,1,0,135/269,1,0,6,15,2007,"$8,051,238",,
Ray Arinno,25,0,0,10/25,0,0,0,1,-,"$8,851",,
Tommy Armour,194,25,0,186/194,19,11,82,113,-,"$20,088",,
Tommy Armour III,618,2,1,314/618,7,3,15,41,1981,"$9,458,248",,
Ty Armstrong,53,0,0,18/53,0,0,0,0,-,"$85,783",,
Wally Armstrong,334,0,0,196/334,3,3,12,22,-,"$406,269",,
Dewey Arnette,64,0,0,23/64,0,0,0,0,-,"$43,043",,
Perry Arthur,108,0,0,36/108,0,0,0,3,-,"$121,576",,
Bruce Ashworth,39,0,0,17/39,0,0,0,0,-,"$9,713",,
Matt Atkins,27,0,0,10/27,0,0,0,0,2018,"$157,204",,
Arjun Atwal,259,1,10,121/259,1,1,5,11,2004,"$5,107,102",,
Emlyn Aubrey,214,0,0,107/214,1,0,2,8,-,"$1,207,041",,
Laurie Auchterlonie,10,2,0,10/10,2,1,8,9,-,$0,,
George Aulbach,15,1,0,15/15,2,1,5,5,-,$75,,
Hampton Auld,39,0,0,20/39,0,0,0,0,-,$853,,
Eric Axley,209,1,0,89/209,0,1,4,5,2006,"$3,241,604",,
Woody Austin,545,4,1,317/545,4,3,23,52,1995,"$16,580,132",,
Tommy Aycock,47,0,0,30/47,0,0,1,1,-,"$21,515",,
Angel Ayora,2,0,1,2/2,0,0,0,0,-,"$17,120",,
Paul Azinger,587,12,0,395/587,13,20,59,112,-,"$14,467,496",,
Laurie Ayton,42,0,0,42/42,2,1,8,25,-,$325,,
Ludvig Åberg,45,2,1,38/45,4,0,10,15,2023,"$18,682,763",,
Aaron Baddeley,536,4,4,317/536,5,2,22,52,2003,"$24,055,281",,
Sangmoon Bae,191,2,10,93/191,1,0,5,9,2012,"$6,787,198",,
Eddie Baening,2,1,0,2/2,0,0,1,1,-,$0,,
Briny Baird,379,0,0,243/379,6,2,17,31,1999,"$13,251,178",,
Butch Baird,446,2,0,339/446,0,1,12,30,-,"$329,706",,
Chris Baker,43,0,1,20/43,0,0,0,0,2020,"$541,630",,
Ralph Baker,25,0,0,9/25,0,0,0,0,-,"$4,959",,
Ian Baker-Finch,167,2,0,92/167,7,5,14,23,-,"$2,078,743",,
Errie Ball,97,1,0,78/97,0,0,2,4,-,"$4,870",,
Al Balding,327,1,0,299/327,8,3,18,41,-,"$168,446",,
Jose Luis Ballester Barrio,4,0,0,1/4,0,0,0,0,-,$0,,
Seve Ballesteros,151,9,77,95/151,5,8,26,35,1984,"$1,840,357",,
Bob Barbarossa,69,0,0,55/69,0,0,0,1,-,"$37,910",,
Lou Barbaro,27,1,0,24/27,0,0,1,1,-,"$1,923",,
Aaron Barber,52,0,2,20/52,0,0,1,2,-,"$655,192",,
Blayne Barber,105,0,0,55/105,1,1,2,6,2015,"$2,810,296",,
Jerry Barber,444,6,0,356/444,14,9,47,96,-,"$185,194",,
Dave Barber,43,0,0,20/43,0,0,0,1,-,"$13,957",,
Miller Barber,711,11,0,533/711,17,16,77,131,-,"$1,564,204",,
Jim Barber,115,0,0,62/115,1,0,1,1,-,"$68,453",,
