year,player,sg_total,rounds,rank
2004,Vijay Singh,2.54,110,1
2004,Tiger Woods,2.41,72,2
2004,Ernie Els,2.27,58,3
2004,Phil Mickelson,2.2,79,4
2004,Retief Goosen,2.06,55,5
2004,Stewart Cink,1.61,97,6
2004,Stephen Ames,1.45,95,7
2004,Sergio Garcia,1.39,64,8
2004,Jay Haas,1.39,79,9
2004,Scott Verplank,1.37,91,10
2004,Padraig Harrington,1.34,42,11
2004,Adam Scott,1.29,52,12
2004,Davis Love III,1.29,75,13
2004,Tom Lehman,1.28,66,14
2004,David Toms,1.26,74,15
2005,Tiger Woods,2.67,74,1
2005,Vijay Singh,2.24,109,2
2005,Phil Mickelson,1.85,74,3
2005,Jim Furyk,1.85,93,4
2005,Darren Clarke,1.66,40,5
2005,Ernie Els,1.6,44,6
2005,Luke Donald,1.55,60,7
2005,Sergio Garcia,1.54,68,8
2005,Kenny Perry,1.45,80,9
2005,David Toms,1.41,77,10
2005,Davis Love III,1.27,75,11
2005,Jose Maria Olazabal,1.23,53,12
2005,Retief Goosen,1.16,61,13
2005,Tim Herron,1.13,99,14
2005,Scott Verplank,1.1,86,15
2006,Tiger Woods,3.38,52,1
2006,Jim Furyk,2.4,88,2
2006,Adam Scott,2.14,68,3
2006,Phil Mickelson,2.09,69,4
2006,Luke Donald,2.07,63,5
2006,Steve Stricker,1.85,62,6
2006,Vijay Singh,1.7,100,7
2006,Trevor Immelman,1.63,86,8
2006,Ernie Els,1.49,64,9
2006,Robert Allenby,1.35,77,10
2006,Jose Maria Olazabal,1.3,58,11
2006,Stewart Cink,1.29,88,12
2006,Jonathan Byrd,1.29,66,13
2006,Ian Poulter,1.25,52,14
2006,Arron Oberholser,1.23,79,15
2007,Tiger Woods,3.21,60,1
2007,Ernie Els,1.67,58,2
2007,Jim Furyk,1.62,82,3
2007,Phil Mickelson,1.59,71,4
2007,Steve Stricker,1.53,80,5
2007,Justin Rose,1.51,59,6
2007,Vijay Singh,1.49,100,7
2007,K.J. Choi,1.44,85,8
2007,Sergio Garcia,1.43,66,9
2007,Rory Sabbatini,1.32,79,10
2007,Scott Verplank,1.18,81,11
2007,Paul Casey,1.18,34,12
2007,Padraig Harrington,1.18,62,13
2007,Adam Scott,1.17,68,14
2007,Zach Johnson,1.15,75,15
2008,Phil Mickelson,1.87,78,1
2008,Padraig Harrington,1.68,50,2
2008,Sergio Garcia,1.63,70,3
2008,Luke Donald,1.6,33,4
2008,Anthony Kim,1.51,81,5
2008,Jim Furyk,1.39,94,6
2008,Camilo Villegas,1.38,78,7
2008,Robert Allenby,1.37,107,8
2008,Vijay Singh,1.37,78,9
2008,Justin Leonard,1.22,95,10
2008,Stewart Cink,1.22,81,11
2008,Stuart Appleby,1.18,84,12
2008,Kenny Perry,1.05,97,13
2008,Mike Weir,1.0,87,14
2008,Aaron Baddeley,1.0,73,15
2009,Tiger Woods,3.04,62,1
2009,Steve Stricker,1.78,79,2
2009,Jim Furyk,1.58,83,3
2009,Zach Johnson,1.4,92,4
2009,Hunter Mahan,1.31,92,5
2009,Tim Clark,1.26,78,6
2009,Kenny Perry,1.24,91,7
2009,David Toms,1.15,98,8
2009,Nick Watney,1.11,86,9
2009,Retief Goosen,1.11,73,10
2009,Luke Donald,1.09,76,11
2009,Ian Poulter,1.08,56,12
2009,Henrik Stenson,1.07,34,13
2009,Camilo Villegas,1.07,73,14
2009,Sean O'Hair,1.05,76,15
2010,Lee Westwood,2.06,38,1
2010,Matt Kuchar,1.59,95,2
2010,Steve Stricker,1.56,72,3
2010,Phil Mickelson,1.45,76,4
2010,Ernie Els,1.41,70,5
2010,Paul Casey,1.38,58,6
2010,Retief Goosen,1.35,71,7
2010,Jim Furyk,1.33,74,8
2010,Martin Kaymer,1.31,30,9
2010,Luke Donald,1.3,68,10
2010,Graeme McDowell,1.26,30,11
2010,Dustin Johnson,1.18,82,12
2010,Bo Van Pelt,1.18,104,13
2010,Justin Rose,1.11,78,14
2010,K.J. Choi,1.1,82,15
2011,Luke Donald,2.17,67,1
2011,Lee Westwood,1.86,34,2
2011,Steve Stricker,1.81,69,3
2011,Webb Simpson,1.7,98,4
2011,Rory McIlroy,1.46,34,5
2011,Nick Watney,1.46,77,6
2011,Charl Schwartzel,1.45,56,7
2011,Matt Kuchar,1.45,88,8
2011,Phil Mickelson,1.32,77,9
2011,Charles Howell III,1.29,108,10
2011,Sergio Garcia,1.27,61,11
2011,David Toms,1.27,78,12
2011,Jason Day,1.24,73,13
2011,Bud Cauley,1.23,30,14
2011,Hunter Mahan,1.21,89,15
2012,Tiger Woods,2.23,67,1
2012,Rory McIlroy,2.16,54,2
2012,Justin Rose,1.72,68,3
2012,Jim Furyk,1.7,84,4
2012,Bubba Watson,1.66,66,5
2012,Adam Scott,1.57,58,6
2012,Jason Dufner,1.57,82,7
2012,Luke Donald,1.54,62,8
2012,Dustin Johnson,1.45,67,9
2012,Matt Kuchar,1.45,82,10
2012,Bo Van Pelt,1.34,83,11
2012,Steve Stricker,1.33,70,12
2012,Louis Oosthuizen,1.25,63,13
2012,Brandt Snedeker,1.24,78,14
2012,Phil Mickelson,1.24,79,15
2013,Steve Stricker,2.18,47,1
2013,Tiger Woods,2.08,60,2
2013,Henrik Stenson,1.77,64,3
